"index","pid","product","size_layout","color","community_ref","x","y"
0,3822,"Composite diagnostic or laboratory reagents, nes",17.45947265625,"#9c219c",8,1327.59594727,2131.48754883
1,8307,"Tubing,flexible, with/without fittings, iron or steel",15.205078125,"#299fff",2,1637.95837402,2680.02758789
2,8601,"Rail locomotives, externally electrically powered",15.02392578125,"#299fff",2,1842.53051758,2671.22460938
3,8901,"Cruise ships, excursion boats, ferry boats",31.50048828125,"#299fff",2,1929.01843262,2142.74682617
4,9015,"Rangefinders",16.233154296875,"#299fff",2,1655.44604492,2040.54943848
5,8429,"Bulldozers and angledozers, crawler type",23.2703857421875,"#299fff",2,1673.91912842,2745.16650391
6,8410,"Hydraulic turbines, water wheels, power < 1000 kW",15.080078125,"#299fff",2,1938.62231445,2602.89428711
7,8411,"Turbo-jet engines of a thrust < 25 KN",29.3427734375,"#0576a6",1,1341.78442383,2810.60571289
8,9111,"Watch cases of, or clad with, precious metal",15.014892578125,"#0576a6",1,1375.30383301,2782.47875977
9,9703,"Original sculptures and statuary, in any material",15.2054443359375,"#0576a6",1,1324.24542236,2855.22753906
10,9014,"Direction finding compasses",15.912109375,"#299fff",2,1494.68432617,2545.16015625
11,5111,"Woven fabric, >85% carded wool or fine hair, <300 g/m",15.05126953125,"#299fff",2,1814.89489746,2052.95458984
12,5112,"Woven fabric, >85% combed wool or fine hair, <300 g/m",15.36083984375,"#299fff",2,1796.06689453,2122.33129883
13,8466,"Tool holders, self-opening dieheads, for machine tool",17.611083984375,"#299fff",2,1761.30249023,2390.4675293
14,6115,"Panty hose etc, synthetic fibre yarn <67 dtex/sy, kni",16.423095703125,"#33cc00",4,2643.6607666,2262.04455566
15,4823,"Paper, self-adhesive, cut to size, in strips or rolls",15.813232421875,"#ff0000",12,2133.39245605,2414.60888672
16,6902,"Refractory bricks, etc with >50% Mg, Ca or Cr as oxid",15.544677734375,"#299fff",2,1747.53393555,2522.90209961
17,7602,"Waste or scrap, aluminium",16.578369140625,"#330000",3,2382.58947754,2316.62780762
18,9010,"Equipment for automatic development of photo film",15.09716796875,"#99ffff",7,1322.38208008,2428.58447266
19,7315,"Chain, roller, iron or steel",15.49609375,"#299fff",2,1582.17492676,2319.52587891
